parksid,block,lotnum,lotsize,areacovered
B522-GT001,3997,17,,
B522-GT001,3997,19,,
B522-GT001,3997,20,,
Q507-GT001,398,33,,
B581-GT001,4063,15,1800,Full Lot
BGT066,5078,32,,
XGT040,2685,61,,
BGT067,4206,1,2000,Partial Lot
MGT040,438,19,,
B449-GT002,4075,140,,
B498-GT001,1561,12,,
X365-GT001,2724,115,,
M325-GT002,391,30,,
M409-GT001,1911,48,1600,Full Lot
Q493-GT002,10150,1,,
BGT068,5267,19,,
M025-GT001,1964,12,3300,Partial Lot
M320-GT001,1962,35,6350,
MGT042,390,7502,,
X001A-GT001,2868,3,,
Q121A-GT002,10243,60,6544,Partial Lot
Q440-GT001,12089,8,,
M325-GT003,391,30,,
X343-GT001,3201,1,,
XGT041,3257,120,,
BGT069,7842,40,,
M410-GT001,387,46,,
B428-GT001,3293,34,2000,
B428-GT001,3293,35,2000,
B428-GT001,3293,36,2000,
B428-GT001,3293,37,1800,
B428-GT001,3293,38,1425,
B428-GT001,3293,39,1425,
B428-GT001,3293,40,1425,
B428-GT001,3293,41,1425,
B166-GT001,8312,1,6250,Partial Lot
B558-GT001,4050,22,,
B594-GT001,5030,72,,
RGT004,556,100,,
R137A-GT001,6351,1,,
R137A-GT001,6351,3,,
R137A-GT001,6351,6,,
R137A-GT001,6351,8,,
R137A-GT001,6351,9,,
R137A-GT001,6351,11,,
R137A-GT001,6351,12,,
R137A-GT001,6351,13,,
R137A-GT001,6351,14,,
X303-GT001,2523,160,,
B436-GT001,3613,30,,
Q511-GT001,15960,43,7600,Full Lot
Q518-GT001,16103,84,,
Q518-GT001,16103,83,,
B452-GT001,3997,10,,
B496-GT001,4075,107,,
BGT081,4457,43,2333,Full Lot
BGT081,4457,45,2300,Full Lot
B540-GT001,1354,80,,
BGT164,1740,1,3127,Partial Lot
XGT083,5582,1,1728,Partial Lot
BGT169,1580,1,2074,Partial Lot
BGT170,7405,1001,4103,Partial Lot
MGT097,1933,1,1008,Partial Lot
BGT165,1597,1,9542,Partial Lot
BGT166,4510,1,2700,Partial Lot
BGT167,3098,1,1184,Partial Lot
XGT080,4444,1,2520,Partial Lot
XGT081,2639,1,4320,Partial Lot
XGT082,2557,83,1776,Partial Lot
BGT168,2050,1,14850,Partial Lot
MGT095,1980,1,1296,Partial Lot
MGT096,1605,24,8648,Partial Lot
B507-GT002,1708,35,,
B507-GT002,1708,36,,
X270-GT001,2979,28,1777,
XGT084,3274,51,,
X292-GT001,3169,20,6552,Full Lot
Q519-GT001,13344,32,2605,
B223DA-GT001,258,1,,Partial Lot
BGT172,685,53,,Full Lot
BGT171,386,43,,Full Lot
M284-GT001,2066,25,5840,
Q503-GT001,15952,3,3067,Full Lot
BGT173,3245,39,5000,Full Lot
BGT173,3245,41,2500,Full Lot
QGT027,9802,41,,Partial Lot
XGT085,2215,623,2048,Partial Lot
XGT087,2325,1,3536,Partial Lot
B464-GT002,1446,61,2679,Full Lot
B389-GT001,5059,32,4100,Partial Lot
QGT028,3418,1,9500,Partial Lot
MGT100,1640,1,1920,Partial Lot
MGT101,1627,50,7095,Partial Lot
XGT088,2911,1,1244,Partial Lot
XGT089,2678,1,1920,Partial Lot
M305-GT001,1726,132,1500,Full Lot
BGT175,5421,47,2258,Full Lot
XGT090,3537,1,10000,Full Lot
Q514-GT001,738,50,1500,Partial Lot
XGT091,4922,87,10748,Full Lot
X345-GT001,2617,17,1119,Full Lot
X345-GT001,2617,16,16,Full Lot
X345-GT001,2617,104,70,Full Lot
B423-GT001,2250,20,,
B423-GT001,2250,21,,
B423-GT001,2250,22,,
X352-GT001,2379,15,,
X352-GT001,2379,16,,
XGT044,2682,41,3142,Full Lot
XGT044,2682,40,4000,Full Lot
